window_id,H_S,H_Sp,MI,P,H_f,H_b,Delta_H
48,2.7177516880975,2.718452491705019,2.560168193331601,0.4709477621984029,0.1582842983734185,0.1575834947658996,0.0007008036075188961
49,2.867336002962427,2.8666334203357726,2.7068269566356244,0.4720686067207257,0.15980646370014862,0.16050904632680307,-0.0007025826266544577
50,2.8659924288544265,2.8674762808704193,2.706652493766551,0.4720794044233033,0.1608237871038689,0.15933993508787614,0.0014838520159927704
51,2.902756686152749,2.894325602776147,2.717588146726589,0.4687855047213254,0.17673745604955826,0.18516853942616018,-0.008431083376601922
52,2.998770203426332,2.995092193267131,2.794051771769485,0.46615213811228534,0.201040421497646,0.20471843165684733,-0.003678010159201328
53,3.2314290103093417,3.2292960072026218,3.024647898751243,0.46815920667616345,0.2046481084513787,0.20678111155809864,-0.002133003106719933
54,3.0901532346881653,3.0810748627498517,2.886669177938064,0.46776251539567365,0.19440568481178744,0.20348405675010106,-0.009078371938313623
55,3.249843217265921,3.2565632967545297,3.0413093176110038,0.4674330309760667,0.2152539791435264,0.20853389965491775,0.0067200794886086435
56,3.105778056942988,3.1143143549840158,2.918665329718236,0.4692318275081744,0.19564902526577965,0.18711272722475192,0.008536298041027734
57,3.080861756597909,3.076851098613161,2.9028276743402914,0.4714132897385307,0.17402342427286976,0.1780340822576174,-0.004010657984747645
58,2.91630248602294,2.906015264932339,2.7327893670639267,0.4693645183854063,0.17322589786841247,0.18351311895901334,-0.010287221090600873
59,2.5782440124253636,2.5813226298716234,2.4446577734762625,0.4738106788728143,0.13666485639536097,0.13358623894910115,0.0030786174462598126
60,2.1445550158226547,2.1385167645347845,2.0461394715958807,0.4777271025388051,0.09237729293890329,0.09841554422677357,-0.006038251287870278
61,2.160051695994235,2.1578660545486983,2.0627077396844764,0.47770890018113765,0.09515831486422188,0.09734395630975845,-0.002185641445536568
62,2.1912042734047206,2.194658516222284,2.095533215626122,0.4777926980712354,0.09912530059616254,0.09567105777859908,0.0034542428175634576
63,1.9483445076115204,1.9749247391975264,1.873941779672923,0.4776480179628445,0.10098295952460346,0.07440272793859748,0.026580231586005976
64,2.1680835663445013,2.1610525413117827,2.0680772076241656,0.4777112930144821,0.09297533368761712,0.1000063587203357,-0.007031025032718574
65,2.1558561867668677,2.1434297229591373,2.038079385028399,0.47405067441962395,0.10535033793073811,0.1177768017384686,-0.012426463807730492
66,2.434935088011233,2.4466039107053157,2.31362996578994,0.47395503065697897,0.1329739449153755,0.12130512222129264,0.01166882269408287
67,2.6940710739737623,2.704201502407424,2.553043810302463,0.4729371802144038,0.15115769210496133,0.1410272636712997,0.010130428433661631
68,3.343132174261424,3.3422347213091665,3.140711980877735,0.46978902279224544,0.20152274043143104,0.20242019338368866,-0.0008974529522576269
69,3.344016039759734,3.343315236152215,3.134608390445206,0.4687383144508181,0.2087068457070096,0.2094076493145285,-0.0007008036075188961
70,3.4648844239830296,3.474635815279392,3.2348830426512203,0.4661537009934631,0.2397527726281714,0.23000138133180892,0.009751391296362488
71,3.3739414705875794,3.3686562869035996,3.1091276211540615,0.46111717367386335,0.25952866574953815,0.26481384943351793,-0.005285183683979788
72,3.254798557238531,3.2575086679364063,2.9786052718622043,0.4573809510011548,0.278903396074202,0.2761932853763267,0.002710110697875301
73,3.3208982224780206,3.3245762326372215,3.0258181806227,0.4553201131175258,0.298758052014521,0.2950800418553201,0.003678010159200884
74,3.558661620693534,3.56175704717248,3.3020206933288914,0.46373968264404114,0.2597363538435884,0.2566409273646424,0.003095426478946006
75,3.62345877001092,3.6243634090088683,3.3732350241338933,0.4654136016055097,0.251128384874975,0.2502237458770269,0.0009046389979481262
76,3.3715389477177853,3.365618991481423,3.1526330620801293,0.4679470320469965,0.21298592940129435,0.21890588563765645,-0.0059199562363621006
77,3.38582260397974,3.38196033539559,3.161626142878924,0.467158325141371,0.22033419251666597,0.22419646110081626,-0.0038622685841502857
78,3.408192247137591,3.4103436758423187,3.1903027203048095,0.46788676577222593,0.22004095553750957,0.21788952683278184,0.0021514287047277314
79,3.094587011354862,3.092308139403231,2.9049888791698337,0.4695390512337807,0.18731926023339707,0.1895981321850284,-0.002278871951631345
