t,theta1,theta2,omega1,omega2,KE1,KE2,PE1,PE2,TotalE
0.156,-1.500672392,-2.136384132,1.491667701,0.091869847,1.112536265,1.227024864,9.122647851,24.18994631,35.65215529
0.157,-1.49917635,-2.136290976,1.500413364,0.094449031,1.125620132,1.243991223,9.108008525,24.17453541,35.65215529
0.158,-1.497671571,-2.136195221,1.509143448,0.097066684,1.138756974,1.261094012,9.09328528,24.15901902,35.65215529
0.159,-1.496158069,-2.13609683,1.517857862,0.099723044,1.151946245,1.278333674,9.078478331,24.14339704,35.65215529
0.16,-1.49463586,-2.135995762,1.526556515,0.102418347,1.165187397,1.295710648,9.063587894,24.12766935,35.65215529
0.161,-1.493104961,-2.13589198,1.535239316,0.105152829,1.178479879,1.313225378,9.048614187,24.11183585,35.65215529
0.162,-1.491565387,-2.135785444,1.543906175,0.107926725,1.191823139,1.330878304,9.033557432,24.09589641,35.65215529
0.163,-1.490017154,-2.135676113,1.552557001,0.110740268,1.205216621,1.348669867,9.018417851,24.07985095,35.65215529
0.164,-1.488460278,-2.13556395,1.561191706,0.113593692,1.218659771,1.366600508,9.003195669,24.06369934,35.65215529
0.165,-1.486894776,-2.135448913,1.569810198,0.11648723,1.232152029,1.384670667,8.987891113,24.04744148,35.65215529
0.166,-1.485320663,-2.135330962,1.578412389,0.119421112,1.245692836,1.402880784,8.972504413,24.03107726,35.65215529
0.167,-1.483737957,-2.135210057,1.586998191,0.122395569,1.259281629,1.421231298,8.9570358,24.01460656,35.65215529
0.168,-1.482146672,-2.135086157,1.595567513,0.125410831,1.272917845,1.439722648,8.941485508,23.99802929,35.65215529
0.169,-1.480546827,-2.134959222,1.604120269,0.128467127,1.286600919,1.458355273,8.925853773,23.98134532,35.65215529
0.17,-1.478938437,-2.134829209,1.612656369,0.131564684,1.300330283,1.477129611,8.910140834,23.96455456,35.65215529
0.171,-1.47732152,-2.134696078,1.621175726,0.13470373,1.314105368,1.496046098,8.89434693,23.94765689,35.65215529
0.172,-1.475696091,-2.134559788,1.629678253,0.13788449,1.327925604,1.515105171,8.878472306,23.93065221,35.65215529
0.173,-1.474062169,-2.134420295,1.638163861,0.14110719,1.341790418,1.534307267,8.862517205,23.9135404,35.65215529
0.174,-1.472419769,-2.134277559,1.646632465,0.144372053,1.355699237,1.553652819,8.846481875,23.89632136,35.65215529
0.175,-1.47076891,-2.134131537,1.655083976,0.147679303,1.369651484,1.573142264,8.830366566,23.87899498,35.65215529
0.176,-1.469109607,-2.133982186,1.663518309,0.151029161,1.383646582,1.592776034,8.814171529,23.86156115,35.65215529
0.177,-1.467441879,-2.133829465,1.671935377,0.154421848,1.397683953,1.612554562,8.797897019,23.84401976,35.65215529
0.178,-1.465765742,-2.133673328,1.680335095,0.157857586,1.411763016,1.63247828,8.781543292,23.8263707,35.65215529
0.179,-1.464081215,-2.133513735,1.688717376,0.161336591,1.425883188,1.652547619,8.765110607,23.80861388,35.65215529
0.18,-1.462388313,-2.133350641,1.697082135,0.164859083,1.440043887,1.672763009,8.748599225,23.79074917,35.65215529
0.181,-1.460687056,-2.133184002,1.705429287,0.168425278,1.454244526,1.69312488,8.732009409,23.77277648,35.65215529
0.182,-1.458977461,-2.133013776,1.713758746,0.172035392,1.46848452,1.713633659,8.715341425,23.75469569,35.65215529
0.183,-1.457259545,-2.132839917,1.722070429,0.175689639,1.482763281,1.734289773,8.698595541,23.7365067,35.65215529
0.184,-1.455533326,-2.132662381,1.730364249,0.179388232,1.497080218,1.755093649,8.681772027,23.7182094,35.65215529
0.185,-1.453798822,-2.132481125,1.738640124,0.183131385,1.51143474,1.776045712,8.664871156,23.69980368,35.65215529
0.186,-1.452056051,-2.132296104,1.746897968,0.186919308,1.525826255,1.797146385,8.647893204,23.68128945,35.65215529
0.187,-1.450305032,-2.132107272,1.755137698,0.190752211,1.54025417,1.81839609,8.630838447,23.66266658,35.65215529
0.188,-1.448545782,-2.131914584,1.76335923,0.194630303,1.554717887,1.839795251,8.613707166,23.64393499,35.65215529
0.189,-1.44677832,-2.131717996,1.771562481,0.198553792,1.569216812,1.861344286,8.596499642,23.62509455,35.65215529
0.19,-1.445002663,-2.131517462,1.779747366,0.202522883,1.583750344,1.883043615,8.57921616,23.60614517,35.65215529
0.191,-1.443218831,-2.131312935,1.787913804,0.206537784,1.598317885,1.904893656,8.561857008,23.58708674,35.65215529
0.192,-1.441426842,-2.131104371,1.796061711,0.210598697,1.612918834,1.926894826,8.544422474,23.56791916,35.65215529
0.193,-1.439626714,-2.130891722,1.804191003,0.214705825,1.627552588,1.949047539,8.526912849,23.54864231,35.65215529
0.194,-1.437818466,-2.130674944,1.812301599,0.21885937,1.642218544,1.97135221,8.50932843,23.52925611,35.65215529
0.195,-1.436002117,-2.130453988,1.820393416,0.223059532,1.656916095,1.993809251,8.491669511,23.50976043,35.65215529
0.196,-1.434177686,-2.130228809,1.828466372,0.227306511,1.671644637,2.016419074,8.473936392,23.49015519,35.65215529
0.197,-1.432345191,-2.129999359,1.836520384,0.231600503,1.68640356,2.039182089,8.456129374,23.47044027,35.65215529
0.198,-1.430504651,-2.129765592,1.844555369,0.235941706,1.701192255,2.062098704,8.438248761,23.45061557,35.65215529
0.199,-1.428656086,-2.12952746,1.852571247,0.240330314,1.716010113,2.085169327,8.420294859,23.43068099,35.65215529
0.2,-1.426799515,-2.129284916,1.860567935,0.244766522,1.730856521,2.108394364,8.402267977,23.41063643,35.65215529
0.201,-1.424934957,-2.129037911,1.868545351,0.249250522,1.745730865,2.131774218,8.384168427,23.39048178,35.65215529
